Alice Johnson, 123 Maple St, 54714, 555-647-9086,In Transit
Bob Smith,1324 johns ave,75063, 555-204-7161,Delivered
Carol Williams, 789 Pine St, 29711, 555-691-4291,In Transit
David Brown, 101 Elm St, 39219, 555-567-5061,In Transit
Eva Miller, 234 Cedar St, 28804, 555-120-4151,In Transit
Frank Wilson, 567 Birch St, 54449, 555-222-5492,In Transit
Grace Moore, 890 Walnut St, 67110, 555-534-4214,In Transit
Henry Taylor, 135 Cherry St, 77723, 555-481-4386,In Transit
Ivy Anderson, 246 Aspen St, 92542, 555-819-9113,In Transit
Jack Thomas, 369 Sycamore St, 56168, 555-847-3033,In Transit
Karen Martin, 135 Redwood St, 79137, 555-713-5805,In Transit
Liam White, 246 Magnolia St, 88585, 555-643-4284,In Transit
Mona Harris, 789 Dogwood St, 54946, 555-102-4037,In Transit
Nora Clark, 135 Juniper St, 25189, 555-503-1798,In Transit
Oscar Lewis, 817 n fitzgerald st, 82110, 555-716-3277,In Transit
diego ramirez, 781 west palm beach dr, 90210, 817-671-9029,In Transit
